iter	Passed	Remaining
0	184	184547
1	194	97086
2	200	66712
3	207	51546
4	213	42430
5	219	36314
6	226	32061
7	232	28770
8	237	26196
9	244	24239
10	250	22548
11	257	21205
12	263	20024
13	269	19001
14	277	18245
15	283	17460
16	290	16805
17	296	16185
18	302	15627
19	309	15166
20	315	14706
21	323	14375
22	329	14016
23	335	13660
24	342	13365
25	348	13057
26	355	12804
27	361	12545
28	367	12310
29	374	12102
30	380	11884
31	386	11686
32	392	11512
33	399	11345
34	406	11214
35	412	11055
36	418	10900
37	425	10772
38	431	10639
39	438	10522
40	444	10396
41	450	10277
42	457	10178
43	464	10090
44	470	9992
45	477	9901
46	483	9799
47	490	9724
48	496	9630
49	502	9551
50	508	9467
51	514	9382
52	521	9313
53	527	9237
54	533	9160
55	540	9104
56	546	9035
57	552	8980
58	558	8913
59	564	8846
60	571	8801
61	577	8739
62	584	8686
63	590	8629
64	595	8571
65	604	8548
66	610	8499
67	617	8465
68	624	8420
69	630	8373
70	637	8342
71	643	8293
72	650	8261
73	657	8222
74	662	8176
75	669	8144
76	675	8099
77	683	8080
78	690	8055
79	698	8030
80	706	8012
81	715	8007
82	721	7972
83	729	7952
84	737	7941
85	745	7921
86	753	7912
87	762	7903
88	771	7894
89	779	7880
90	788	7872
91	795	7853
92	803	7838
93	810	7815
94	819	7803
95	827	7787
96	835	7775
97	842	7755
98	850	7744
99	858	7726
100	866	7717
101	873	7694
102	882	7689
103	890	7668
104	898	7659
105	905	7640
106	913	7625
107	921	7613
108	930	7607
109	938	7595
110	947	7590
111	954	7571
112	963	7565
113	971	7552
114	981	7550
115	989	7538
116	997	7531
117	1006	7523
118	1015	7516
119	1022	7497
120	1029	7481
121	1037	7464
122	1045	7452
123	1052	7434
124	1059	7419
125	1067	7402
126	1074	7383
127	1082	7375
128	1090	7360
129	1101	7373
130	1112	7377
131	1120	7370
132	1130	7369
133	1143	7387
134	1152	7383
135	1163	7394
136	1174	7398
137	1184	7396
138	1195	7402
139	1204	7399
140	1219	7428
141	1230	7432
142	1240	7436
143	1252	7447
144	1265	7464
145	1276	7467
146	1289	7483
147	1300	7488
148	1309	7477
149	1317	7464
150	1327	7464
151	1335	7448
152	1343	7439
153	1352	7428
154	1362	7427
155	1370	7414
156	1378	7400
157	1385	7384
158	1394	7374
159	1404	7372
160	1412	7358
161	1421	7352
162	1428	7337
163	1438	7330
164	1445	7316
165	1455	7310
166	1463	7301
167	1472	7294
168	1481	7285
169	1493	7292
170	1501	7278
171	1509	7267
172	1517	7253
173	1525	7241
174	1532	7225
175	1541	7215
176	1548	7198
177	1555	7182
178	1561	7161
179	1568	7143
180	1574	7123
181	1580	7103
182	1588	7091
183	1595	7075
184	1602	7060
185	1609	7042
186	1617	7032
187	1624	7015
188	1630	6998
189	1639	6989
190	1646	6974
